date,store,category,product,sales
2023-01-01,Store_A,Electronics,Laptop,103
2023-01-02,Store_A,Electronics,Laptop,100
2023-01-03,Store_A,Electronics,Laptop,103
2023-01-04,Store_A,Electronics,Laptop,107
2023-01-05,Store_A,Electronics,Laptop,101
2023-01-06,Store_A,Electronics,Laptop,106
2023-01-07,Store_A,Electronics,Laptop,108
2023-01-08,Store_A,Electronics,Laptop,106
2023-01-09,Store_A,Electronics,Laptop,106
2023-01-10,Store_A,Electronics,Laptop,110
2023-01-11,Store_A,Electronics,Laptop,111
2023-01-12,Store_A,Electronics,Laptop,106
2023-01-13,Store_A,Electronics,Laptop,110
2023-01-14,Store_A,Electronics,Laptop,109
2023-01-15,Store_A,Electronics,Laptop,106
2023-01-16,Store_A,Electronics,Laptop,112
2023-01-17,Store_A,Electronics,Laptop,110
2023-01-18,Store_A,Electronics,Laptop,106
2023-01-19,Store_A,Electronics,Laptop,109
2023-01-20,Store_A,Electronics,Laptop,105
2023-01-21,Store_A,Electronics,Laptop,114
2023-01-22,Store_A,Electronics,Laptop,109
2023-01-23,Store_A,Electronics,Laptop,112
2023-01-24,Store_A,Electronics,Laptop,103
2023-01-25,Store_A,Electronics,Laptop,111
2023-01-26,Store_A,Electronics,Laptop,103
2023-01-27,Store_A,Electronics,Laptop,107
2023-01-28,Store_A,Electronics,Laptop,103
2023-01-29,Store_A,Electronics,Laptop,107
2023-01-30,Store_A,Electronics,Laptop,100
2023-01-31,Store_A,Electronics,Laptop,101
2023-02-01,Store_A,Electronics,Laptop,98
2023-02-02,Store_A,Electronics,Laptop,101
2023-02-03,Store_A,Electronics,Laptop,98
2023-02-04,Store_A,Electronics,Laptop,101
2023-02-05,Store_A,Electronics,Laptop,98
2023-02-06,Store_A,Electronics,Laptop,92
2023-02-07,Store_A,Electronics,Laptop,93
2023-02-08,Store_A,Electronics,Laptop,97
2023-02-09,Store_A,Electronics,Laptop,90
2023-02-10,Store_A,Electronics,Laptop,97
2023-02-11,Store_A,Electronics,Laptop,95
2023-02-12,Store_A,Electronics,Laptop,96
2023-02-13,Store_A,Electronics,Laptop,90
2023-02-14,Store_A,Electronics,Laptop,87
2023-02-15,Store_A,Electronics,Laptop,89
2023-02-16,Store_A,Electronics,Laptop,92
2023-02-17,Store_A,Electronics,Laptop,93
2023-02-18,Store_A,Electronics,Laptop,88
2023-02-19,Store_A,Electronics,Laptop,86
2023-02-20,Store_A,Electronics,Laptop,89
2023-02-21,Store_A,Electronics,Laptop,87
2023-02-22,Store_A,Electronics,Laptop,94
2023-02-23,Store_A,Electronics,Laptop,90
2023-02-24,Store_A,Electronics,Laptop,89
2023-02-25,Store_A,Electronics,Laptop,93
2023-02-26,Store_A,Electronics,Laptop,94
